PC1,PC2,Activity_Label
2.0385885879398398,-2.2435869834807467,Brushing
1.4666102260816247,0.9039728900207217,Brushing
1.518492916879092,3.211660157908035,Brushing
1.6305872850348209,-0.8677278568362153,Brushing
0.30655544185898265,6.956258662134486,Brushing
-0.09238089621499768,-0.3715741085065866,Brushing
-0.225903967691381,-3.518760291292844,Brushing
-0.5247561509346772,-2.0273784609462995,Brushing
-1.3844838158338746,4.600929574218006,Brushing
-1.4829223790071575,-2.054959995946223,Brushing
-0.8688523448083085,1.593524165909101,Brushing
-0.5217672560540709,-2.3686695602362007,Brushing
-0.26793210022063985,-2.975305891434773,Brushing
-0.049046949302985254,-3.0011621673710898,Brushing
-0.6401418870746243,4.628543868322977,Brushing
-1.1796135052082666,0.5761743636252008,Brushing
-1.0152707427609933,6.738384496758477,Brushing
-0.8521351355453355,2.028611008095545,Brushing
-0.6276871983481067,3.873705383475638,Brushing
-0.6940418977561436,2.0717238621641747,Brushing
-0.3954341196356461,0.37192128289542997,Brushing
-0.7154426517145591,-0.7108826057108854,Brushing
-0.46465797542584397,-0.5292678904322633,Brushing
-0.2792781009089573,-8.352925232804385,Brushing
-0.23105739169505402,-2.297408487447749,Brushing
-1.0231673609680958,-2.919784669958523,Brushing
-1.353347972465968,-7.680995437677476,Brushing
-1.8757377826423562,-4.131155643052171,Brushing
-2.5641313880223486,1.0614246061398884,Brushing
-2.484388380040582,-5.271158081192507,Brushing
-2.571702005235442,-4.71077871288367,Brushing
-2.5703904632057912,-3.44341581078579,Brushing
-2.7378456978097807,0.5331556920914923,Brushing
-2.8759111686174323,3.4930671057146117,Brushing
-2.998197266154813,0.658493316418092,Brushing
-2.9774066171585765,1.8360024732558098,Brushing
-2.5623113791891137,3.4816074157831656,Brushing
-2.091635899451431,5.255626049203837,Brushing
-1.735266307806349,0.4174439227932894,Brushing
-1.2040104566712904,6.379439457189468,Brushing
-0.8096647688376004,11.36263815373251,Brushing
-0.6729027367898945,2.0100553645064596,Brushing
-0.2589091616816761,-1.1814015394481128,Brushing
-0.16227074567941457,-2.4844234135887713,Brushing
-0.36395346622416547,1.1447350335921058,Brushing
-0.6132518027317007,-8.200257415768004,Brushing
-1.2137619708462344,-1.580624106771251,Brushing
-1.8438295921517178,0.17955472170425824,Brushing
-1.7741763770055097,3.8493709582512747,Brushing
-1.5629361448266783,-0.8674399750537429,Brushing
-1.2984576145916855,-1.9084934133532372,Brushing
-1.3186743299856896,2.6549249652914697,Brushing
-1.3267625689983165,1.5242610713246518,Brushing
-1.5174305993238657,-4.7917971498157765,Brushing
-1.8807569632463452,-4.801731909141499,Brushing
-1.8938240337452186,1.9384219370461802,Brushing
-1.7258373705013113,-1.2247160082740882,Brushing
-2.4061821337991405,-3.2415760402805898,Brushing
-2.3743008447308247,2.4762487981776795,Brushing
-2.2958602424977905,0.8808975919372669,Brushing
-1.7995910671411757,-2.3006879184703233,Brushing
-1.412673474383137,-3.488187490403411,Brushing
0.08179834496445704,-1.5326815681829224,Brushing
-0.13155184852799984,0.9803029097010993,Brushing
-0.21858218617769243,-3.331198057655557,Brushing
-1.2500732676389283,-0.41437642525244045,Brushing
-1.8093563460518691,3.3166707073129307,Brushing
-2.6978540199708374,0.32817544139036825,Brushing
-2.8314918675449356,-4.6822417971711285,Brushing
-2.7401793731529756,3.3802369536039523,Brushing
-1.8432017050913365,0.5709262318997294,Brushing
